juris_id,ecozone,canfi_species,genus,species,variety,a1,a2,a3,b1,b2,b3,c1,c2,c3,count
AB,5,602,LARI,LAR,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,5,1200,POPU,SPP,NA,-1.062501,-8.673e-4,-0.0548917,-2.832979,-0.0010086,0.1977748,-1.410144,0.0026366,-0.4847424,247
AB,5,1201,POPU,TRE,NA,-1.062501,-8.673e-4,-0.0548917,-2.832979,-0.0010086,0.1977748,-1.410144,0.0026366,-0.4847424,247
AB,5,1203,POPU,BAL,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,5,1203,POPU,BAL,BAL,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,5,1203,POPU,BAL,GLA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,5,1204,POPU,TRI,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,5,1205,POPU,DEL,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,5,1205,POPU,DEL,DEL,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,5,1214,POPU,AGU,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,5,1303,BETU,PAP,NA,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,5,1303,BETU,PAP,PAP,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,6,100,PICE,SPP,NA,-1.619452,9.733e-4,-0.0988202,-0.6090675,-9.805e-4,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,6,101,PICE,MAR,NA,-1.962642,-0.0025805,0.0964473,-1.162072,-0.0025745,-0.0407574,-2.373166,-0.0077735,0.3590638,81
AB,6,105,PICE,GLA,NA,-1.619452,9.733e-4,-0.0988202,-0.6090675,-9.805e-4,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,6,200,PINU,SPP,NA,-1.596728,-2.99e-5,-0.1297067,-0.123297,9.653e-4,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,6,203,PINU,BAN,NA,-1.210482,-5.965e-4,-0.2261727,-1.392068,-5.859e-4,-0.2044972,-0.8886665,-0.0030297,-0.3700746,30
AB,6,204,PINU,CON,NA,-1.596728,-2.99e-5,-0.1297067,-0.123297,9.653e-4,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,6,204,PINU,CON,LAT,-1.596728,-2.99e-5,-0.1297067,-0.123297,9.653e-4,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,6,216,PINU,MUR,NA,-1.593991,3.79e-5,-0.1330865,-0.7553959,3.32e-4,-0.297162,-1.910119,-0.0026327,-0.0640618,759
AB,6,300,ABIE,SPP,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,6,302,ABIE,BAL,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,6,500,PSEU,MEN,NA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,6,500,PSEU,MEN,MEN,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,6,500,PSEU,MEN,GLA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,6,500,PSEU,SPP,NA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,6,600,LARI,SPP,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,6,601,LARI,DEC,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,6,602,LARI,LAR,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,6,1200,POPU,SPP,NA,-1.062501,-8.673e-4,-0.0548917,-2.832979,-0.0010086,0.1977748,-1.410144,0.0026366,-0.4847424,247
AB,6,1201,POPU,TRE,NA,-1.062501,-8.673e-4,-0.0548917,-2.832979,-0.0010086,0.1977748,-1.410144,0.0026366,-0.4847424,247
AB,6,1203,POPU,BAL,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,6,1203,POPU,BAL,BAL,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,6,1203,POPU,BAL,GLA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,6,1204,POPU,TRI,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,6,1205,POPU,DEL,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,6,1205,POPU,DEL,DEL,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,6,1214,POPU,AGU,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,6,1303,BETU,PAP,NA,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,6,1303,BETU,PAP,PAP,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,9,100,PICE,SPP,NA,-1.619452,9.733e-4,-0.0988202,-0.6090675,-9.805e-4,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,9,101,PICE,MAR,NA,-1.962642,-0.0025805,0.0964473,-1.162072,-0.0025745,-0.0407574,-2.373166,-0.0077735,0.3590638,81
AB,9,104,PICE,ENG,NA,-6.478428,-0.0079798,1.141726,-1.473774,-0.0010405,0.0519275,-0.3977257,0.0014648,-0.3224147,5
AB,9,104,PICE,ENG,GLA,-6.478428,-0.0079798,1.141726,-1.473774,-0.0010405,0.0519275,-0.3977257,0.0014648,-0.3224147,5
AB,9,105,PICE,GLA,NA,-1.619452,9.733e-4,-0.0988202,-0.6090675,-9.805e-4,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,9,109,PICE,SPP,NA,-1.619452,9.733e-4,-0.0988202,-0.6090675,-9.805e-4,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,9,200,PINU,SPP,NA,-1.596728,-2.99e-5,-0.1297067,-0.123297,9.653e-4,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,9,203,PINU,BAN,NA,-1.210482,-5.965e-4,-0.2261727,-1.392068,-5.859e-4,-0.2044972,-0.8886665,-0.0030297,-0.3700746,30
AB,9,204,PINU,CON,NA,-1.596728,-2.99e-5,-0.1297067,-0.123297,9.653e-4,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,9,204,PINU,CON,LAT,-1.596728,-2.99e-5,-0.1297067,-0.123297,9.653e-4,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,9,206,PINU,ALB,NA,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
AB,9,208,PINU,PON,NA,-2.072806,-9.6e-4,-0.0156953,0.7278768,0.0018701,-0.5897837,-0.3655799,4.557e-4,-0.4323731,273
AB,9,216,PINU,MUR,NA,-1.593991,3.79e-5,-0.1330865,-0.7553959,3.32e-4,-0.297162,-1.910119,-0.0026327,-0.0640618,759
AB,9,300,ABIE,SPP,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,9,302,ABIE,BAL,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,9,304,ABIE,LAS,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,9,305,ABIE,MX2,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,9,306,ABIE,MIX,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,9,500,PSEU,MEN,NA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,9,500,PSEU,MEN,MEN,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,9,500,PSEU,MEN,GLA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,9,500,PSEU,SPP,NA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,9,600,LARI,SPP,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,9,601,LARI,DEC,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,9,602,LARI,LAR,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,9,603,LARI,OCC,NA,-2.161013,3.227e-4,0.0204651,-1.458815,5.336e-4,-0.1485879,-1.734942,5.368e-4,-0.2083722,633
AB,9,604,LARI,LYA,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,9,1150,UNKN,SPP,NA,-1.59885,-1.745e-4,-0.1087694,-0.5711935,-2.642e-4,-0.2818973,-1.946162,-0.0033301,0.0057605,1113
AB,9,1200,POPU,SPP,NA,-1.062501,-8.673e-4,-0.0548917,-2.832979,-0.0010086,0.1977748,-1.410144,0.0026366,-0.4847424,247
AB,9,1201,POPU,TRE,NA,-1.062501,-8.673e-4,-0.0548917,-2.832979,-0.0010086,0.1977748,-1.410144,0.0026366,-0.4847424,247
AB,9,1203,POPU,BAL,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,9,1203,POPU,BAL,BAL,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,9,1203,POPU,BAL,GLA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,9,1204,POPU,TRI,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,9,1205,POPU,DEL,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,9,1205,POPU,DEL,DEL,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,9,1214,POPU,AGU,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,9,1303,BETU,PAP,NA,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,9,1303,BETU,PAP,PAP,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,9,1404,ACER,NEG,NA,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,9,1500,GENH,SPP,NA,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,9,1550,GENH,SPP,NA,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,9,3500,SALI,SPP,NA,-1.749271,-0.0011443,-0.0385082,-2.368783,3.223e-4,0.2192045,-1.433405,-0.0013944,-0.2984636,1479
AB,9,3508,SALI,DIS,NA,-1.749271,-0.0011443,-0.0385082,-2.368783,3.223e-4,0.2192045,-1.433405,-0.0013944,-0.2984636,1479
AB,10,100,PICE,SPP,NA,-1.619452,9.733e-4,-0.0988202,-0.6090675,-9.805e-4,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,10,101,PICE,MAR,NA,-1.962642,-0.0025805,0.0964473,-1.162072,-0.0025745,-0.0407574,-2.373166,-0.0077735,0.3590638,81
AB,10,104,PICE,ENG,NA,-1.619452,9.733e-4,-0.0988202,-0.6090675,-9.805e-4,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,10,104,PICE,ENG,GLA,-1.619452,9.733e-4,-0.0988202,-0.6090675,-9.805e-4,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,10,105,PICE,GLA,NA,-1.619452,9.733e-4,-0.0988202,-0.6090675,-9.805e-4,-0.2039749,-1.195725,-0.0021176,-0.1712661,403
AB,10,200,PINU,SPP,NA,-1.596728,-2.99e-5,-0.1297067,-0.123297,9.653e-4,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,10,203,PINU,BAN,NA,-1.210482,-5.965e-4,-0.2261727,-1.392068,-5.859e-4,-0.2044972,-0.8886665,-0.0030297,-0.3700746,30
AB,10,204,PINU,CON,NA,-1.596728,-2.99e-5,-0.1297067,-0.123297,9.653e-4,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,10,204,PINU,CON,LAT,-1.596728,-2.99e-5,-0.1297067,-0.123297,9.653e-4,-0.4400286,-1.624699,-0.0025082,-0.1218482,729
AB,10,213,PINU,FLE,NA,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
AB,10,216,PINU,MUR,NA,-1.593991,3.79e-5,-0.1330865,-0.7553959,3.32e-4,-0.297162,-1.910119,-0.0026327,-0.0640618,759
AB,10,300,ABIE,SPP,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,10,302,ABIE,BAL,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,10,304,ABIE,LAS,NA,-1.000371,0.0019237,-0.2422341,1.020285,0.0030838,-0.6019995,0.3282367,0.0026063,-0.554543,38
AB,10,500,PSEU,MEN,NA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,10,500,PSEU,MEN,MEN,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,10,500,PSEU,MEN,GLA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,10,500,PSEU,SPP,NA,-4.96034,-0.003358,0.7540441,-4.572906,-0.0038663,0.7804509,-2.366531,-0.0022725,0.2327415,9
AB,10,600,LARI,SPP,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,10,602,LARI,LAR,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,10,604,LARI,LYA,NA,-1.099096,0.0025439,-0.229751,-0.7028945,-0.0045692,-0.0869036,-1.932418,-0.0092075,0.0701183,26
AB,10,1150,UNKN,SPP,NA,-1.59885,-1.745e-4,-0.1087694,-0.5711935,-2.642e-4,-0.2818973,-1.946162,-0.0033301,0.0057605,1113
AB,10,1200,POPU,SPP,NA,-1.062501,-8.673e-4,-0.0548917,-2.832979,-0.0010086,0.1977748,-1.410144,0.0026366,-0.4847424,247
AB,10,1201,POPU,TRE,NA,-1.062501,-8.673e-4,-0.0548917,-2.832979,-0.0010086,0.1977748,-1.410144,0.0026366,-0.4847424,247
AB,10,1203,POPU,BAL,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1203,POPU,BAL,BAL,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1203,POPU,BAL,GLA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1204,POPU,TRI,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1205,POPU,DEL,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1205,POPU,DEL,DEL,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1214,POPU,AGU,NA,-2.83981,-0.0052953,0.4117675,-2.483366,-0.0025045,0.2426761,0.2876938,0.0080777,-0.9679265,36
AB,10,1303,BETU,PAP,NA,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,10,1303,BETU,PAP,PAP,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,10,1404,ACER,NEG,NA,-1.942214,-0.001215,0.0205737,-1.51729,6.041e-4,0.0471622,-2.024583,-0.0035157,-0.1032072,5790
AB,10,1550,GENH,SPP,NA,0.6017257,0.0027172,-0.5733871,-7.208304,-0.0217154,1.67497,-3.020837,0.0064431,-0.0730317,4
AB,10,3500,SALI,SPP,NA,-1.749271,-0.0011443,-0.0385082,-2.368783,3.223e-4,0.2192045,-1.433405,-0.0013944,-0.2984636,1479
AB,10,3508,SALI,DIS,NA,-1.749271,-0.0011443,-0.0385082,-2.368783,3.223e-4,0.2192045,-1.433405,-0.0013944,-0.2984636,1479
AB,14,100,PICE,SPP,NA,1.429132,0.0022324,-0.7370856,3.079754,0.0065005,-1.091282,3.383475,0.005854,-1.225224,11
AB,14,101,PICE,MAR,NA,-1.962642,-0.0025805,0.0964473,-1.162072,-0.0025745,-0.0407574,-2.373166,-0.0077735,0.3590638,81
AB,14,104,PICE,ENG,NA,1.429132,0.0022324,-0.7370856,3.079754,0.0065005,-1.091282,3.383475,0.005854,-1.225224,11
AB,14,104,PICE,ENG,GLA,1.429132,0.0022324,-0.7370856,3.079754,0.0065005,-1.091282,3.383475,0.005854,-1.225224,11
AB,14,105,PICE,GLA,NA,1.429132,0.0022324,-0.7370856,3.079754,0.0065005,-1.091282,3.383475,0.005854,-1.225224,11
AB,14,109,PICE,SPP,NA,1.429132,0.0022324,-0.7370856,3.079754,0.0065005,-1.091282,3.383475,0.005854,-1.225224,11
AB,14,200,PINU,SPP,NA,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
AB,14,201,PINU,MON,NA,-0.5118219,9.205e-4,-0.3217572,2.019649,0.0022129,-0.7684928,2.662205,0.0026659,-1.021211,104
AB,14,203,PINU,BAN,NA,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
AB,14,204,PINU,CON,NA,-0.8777844,0.0011272,-0.2963811,-0.5778987,0.0072881,-0.5907995,0.1672015,0.0054957,-0.7093111,46
